expiry,K,call_bid,call_ask,call_mid,put_mid
2025-10-10,225.0,225.1395095190586,225.24460364621206,225.1904943739037,0.006094341595087371
2025-10-10,230.0,220.1216809468221,220.23697681704314,220.17591392994254,-0.02079968212481731
2025-10-10,235.0,215.17323903363314,215.27832378012684,215.22403621574222,0.015009023916121578
2025-10-10,240.0,210.17327872157307,210.30550962583263,210.24015206591267,0.018811294327832684
2025-10-10,245.0,205.13016252284626,205.24646599194273,205.1946336475705,-0.03902070377307609
2025-10-10,250.0,200.15669734484152,200.28216903128228,200.21992434096506,-0.026043590137248884
2025-10-10,255.0,195.20086585064837,195.32451991091685,195.26083831892439,0.002556808063332028
2025-10-10,260.0,190.21027249650567,190.33077951809526,190.26427023877292,-0.006324851846869706
2025-10-10,265.0,185.22351785667482,185.34980930443626,185.28257264722842,-0.0003360231500835198
2025-10-10,270.0,180.22437974604534,180.32995656371858,180.27816137158575,-0.0170608785515185
2025-10-10,275.0,175.26213150641544,175.37895566260468,175.3251237893933,0.017587959497319616
2025-10-10,280.0,170.28184260865268,170.40001969128573,170.33540524836332,0.015555838708564806
2025-10-10,285.0,165.27610844768057,165.39455406018573,165.33348360336527,0.0013206139518047166
2025-10-10,290.0,160.30768521651575,160.42596866350544,160.36702139331587,0.022544824143636788
2025-10-10,295.0,155.31408596022686,155.42257360375245,155.36614033580554,0.009350186874598876
2025-10-10,300.0,150.29241765906886,150.4058639308466,150.351917879618,-0.017185849071722714
2025-10-10,305.0,145.33540199443357,145.4388435438598,145.38879232519258,0.0073750167441630765
2025-10-10,310.0,140.31615016035138,140.42618767071124,140.37455324172598,-0.019177646481210786
2025-10-10,315.0,135.356340296161,135.47698924588093,135.42361350039292,0.017569032427019238
2025-10-10,320.0,130.36301540880177,130.48143446385038,130.41735964523724,-0.0009984024874256647
2025-10-10,325.0,125.3745974922327,125.47788069732502,125.42697484825601,-0.003696779227368552
2025-10-10,330.0,120.37342686931927,120.48580775680901,120.42936836887624,-0.013616838365905437
2025-10-10,335.0,115.41529513145963,115.55025743101382,115.47975571000352,0.02445692300265989
2025-10-10,340.0,110.41382024648574,110.51502872558218,110.46454154156288,-0.0030708251967439537
2025-10-10,345.0,105.41612436948711,105.52985159928066,105.47141929657774,-0.008506649940599686
2025-10-10,350.0,100.43304035213664,100.54755524485441,100.48536711425018,-0.006872412026922348
2025-10-10,355.0,95.46543577556668,95.57443582069119,95.51565429702191,0.011101190986096299
2025-10-10,360.0,90.45930427670439,90.57866330002459,90.52532206561759,0.008455379823004705
2025-10-10,365.0,85.48777224569082,85.5993248273891,85.54016580196554,0.01098553641224953
2025-10-10,370.0,80.4960397124826,80.6195386145862,80.55627468740882,0.01478084209675501
2025-10-10,375.0,75.55806623617845,75.66016530745395,75.609858992528,0.0560515674572315
2025-10-10,380.0,70.53278213703184,70.63982379820489,70.58498210387155,0.018861099042013052
2025-10-10,385.0,65.5571863018723,65.67405490856834,65.62077817762471,0.04234359303646329
2025-10-10,390.0,60.6141210619798,60.732499752691986,60.672472174438944,0.08172401009192498
2025-10-10,395.0,55.73684264128898,55.84579250625051,55.79041135188047,0.18734960777474186
2025-10-10,400.0,50.8735500625992,51.00155707258582,50.93818309151139,0.3228077676468928
2025-10-10,405.0,46.05910232767289,46.17253501500861,46.120989958216114,0.4933010545929051
